DRG	MDC	MS	Description
75	MDC 01	M	VIRAL MENINGITIS WITH CC/MCC
76	MDC 01	M	VIRAL MENINGITIS WITHOUT CC/MCC
77	MDC 01	M	HYPERTENSIVE ENCEPHALOPATHY WITH MCC
78	MDC 01	M	HYPERTENSIVE ENCEPHALOPATHY WITH CC
79	MDC 01	M	HYPERTENSIVE ENCEPHALOPATHY WITHOUT CC/MCC
80	MDC 01	M	NONTRAUMATIC STUPOR AND COMA WITH MCC
81	MDC 01	M	NONTRAUMATIC STUPOR AND COMA WITHOUT MCC
82	MDC 01	M	TRAUMATIC STUPOR AND COMA COMA >1 HOUR WITH MCC
83	MDC 01	M	TRAUMATIC STUPOR AND COMA COMA >1 HOUR WITH CC
84	MDC 01	M	TRAUMATIC STUPOR AND COMA COMA >1 HOUR WITHOUT CC/MCC
85	MDC 01	M	TRAUMATIC STUPOR AND COMA COMA <1 HOUR WITH MCC
86	MDC 01	M	TRAUMATIC STUPOR AND COMA COMA <1 HOUR WITH CC
87	MDC 01	M	TRAUMATIC STUPOR AND COMA COMA <1 HOUR WITHOUT CC/MCC
88	MDC 01	M	CONCUSSION WITH MCC
89	MDC 01	M	CONCUSSION WITH CC
90	MDC 01	M	CONCUSSION WITHOUT CC/MCC
91	MDC 01	M	OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC
92	MDC 01	M	OTHER DISORDERS OF NERVOUS SYSTEM WITH CC
93	MDC 01	M	OTHER DISORDERS OF NERVOUS SYSTEM WITHOUT CC/MCC
94	MDC 01	M	BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH MCC
95	MDC 01	M	BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITH CC
96	MDC 01	M	BACTERIAL AND TUBERCULOUS INFECTIONS OF NERVOUS SYSTEM WITHOUT CC/MCC
97	MDC 01	M	NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH MCC
98	MDC 01	M	NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITH CC
99	MDC 01	M	NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC
100	MDC 01	M	SEIZURES WITH MCC
101	MDC 01	M	SEIZURES WITHOUT MCC
102	MDC 01	M	HEADACHES WITH MCC
103	MDC 01	M	HEADACHES WITHOUT MCC
113	MDC 02	P	ORBITAL PROCEDURES WITH CC/MCC
114	MDC 02	P	ORBITAL PROCEDURES WITHOUT CC/MCC
115	MDC 02	P	EXTRAOCULAR PROCEDURES EXCEPT ORBIT
116	MDC 02	P	INTRAOCULAR PROCEDURES WITH CC/MCC
117	MDC 02	P	INTRAOCULAR PROCEDURES WITHOUT CC/MCC
121	MDC 02	M	ACUTE MAJOR EYE INFECTIONS WITH CC/MCC
122	MDC 02	M	ACUTE MAJOR EYE INFECTIONS WITHOUT CC/MCC
123	MDC 02	M	NEUROLOGICAL EYE DISORDERS
124	MDC 02	M	OTHER DISORDERS OF THE EYE WITH MCC
125	MDC 02	M	OTHER DISORDERS OF THE EYE WITHOUT MCC
129	MDC 03	P	MAJOR HEAD AND NECK PROCEDURES WITH CC/MCC OR MAJOR DEVICE
130	MDC 03	P	MAJOR HEAD AND NECK PROCEDURES WITHOUT CC/MCC
131	MDC 03	P	CRANIAL AND FACIAL PROCEDURES WITH CC/MCC
132	MDC 03	P	CRANIAL AND FACIAL PROCEDURES WITHOUT CC/MCC
133	MDC 03	P	OTHER EAR NOSE MOUTH AND THROAT O.R. PROCEDURES WITH CC/MCC
134	MDC 03	P	OTHER EAR NOSE MOUTH AND THROAT O.R. PROCEDURES WITHOUT CC/MCC
135	MDC 03	P	SINUS AND MASTOID PROCEDURES WITH CC/MCC
136	MDC 03	P	SINUS AND MASTOID PROCEDURES WITHOUT CC/MCC
137	MDC 03	P	MOUTH PROCEDURES WITH CC/MCC
138	MDC 03	P	MOUTH PROCEDURES WITHOUT CC/MCC
139	MDC 03	P	SALIVARY GLAND PROCEDURES
146	MDC 03	M	EAR NOSE MOUTH AND THROAT MALIGNANCY WITH MCC
147	MDC 03	M	EAR NOSE MOUTH AND THROAT MALIGNANCY WITH CC
148	MDC 03	M	EAR NOSE MOUTH AND THROAT MALIGNANCY WITHOUT CC/MCC
149	MDC 03	M	DYSEQUILIBRIUM
150	MDC 03	M	EPISTAXIS WITH MCC
151	MDC 03	M	EPISTAXIS WITHOUT MCC
152	MDC 03	M	OTITIS MEDIA AND URI WITH MCC
153	MDC 03	M	OTITIS MEDIA AND URI WITHOUT MCC
154	MDC 03	M	OTHER EAR NOSE MOUTH AND THROAT DIAGNOSES WITH MCC
155	MDC 03	M	OTHER EAR NOSE MOUTH AND THROAT DIAGNOSES WITH CC
156	MDC 03	M	OTHER EAR NOSE MOUTH AND THROAT DIAGNOSES WITHOUT CC/MCC
157	MDC 03	M	DENTAL AND ORAL DISEASES WITH MCC
158	MDC 03	M	DENTAL AND ORAL DISEASES WITH CC
159	MDC 03	M	DENTAL AND ORAL DISEASES WITHOUT CC/MCC
163	MDC 04	P	MAJOR CHEST PROCEDURES WITH MCC
164	MDC 04	P	MAJOR CHEST PROCEDURES WITH CC
165	MDC 04	P	MAJOR CHEST PROCEDURES WITHOUT CC/MCC
166	MDC 04	P	OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC
167	MDC 04	P	OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC
168	MDC 04	P	OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
175	MDC 04	M	PULMONARY EMBOLISM WITH MCC
176	MDC 04	M	PULMONARY EMBOLISM WITHOUT MCC
177	MDC 04	M	RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC
178	MDC 04	M	RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC
179	MDC 04	M	RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC
180	MDC 04	M	RESPIRATORY NEOPLASMS WITH MCC
181	MDC 04	M	RESPIRATORY NEOPLASMS WITH CC
182	MDC 04	M	RESPIRATORY NEOPLASMS WITHOUT CC/MCC
183	MDC 04	M	MAJOR CHEST TRAUMA WITH MCC
184	MDC 04	M	MAJOR CHEST TRAUMA WITH CC
185	MDC 04	M	MAJOR CHEST TRAUMA WITHOUT CC/MCC
186	MDC 04	M	PLEURAL EFFUSION WITH MCC
187	MDC 04	M	PLEURAL EFFUSION WITH CC
188	MDC 04	M	PLEURAL EFFUSION WITHOUT CC/MCC
189	MDC 04	M	PULMONARY EDEMA AND RESPIRATORY FAILURE
190	MDC 04	M	CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC
191	MDC 04	M	CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC
192	MDC 04	M	CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITHOUT CC/MCC
193	MDC 04	M	SIMPLE PNEUMONIA AND PLEURISY WITH MCC
194	MDC 04	M	SIMPLE PNEUMONIA AND PLEURISY WITH CC
195	MDC 04	M	SIMPLE PNEUMONIA AND PLEURISY WITHOUT CC/MCC
196	MDC 04	M	INTERSTITIAL LUNG DISEASE WITH MCC
197	MDC 04	M	INTERSTITIAL LUNG DISEASE WITH CC
198	MDC 04	M	INTERSTITIAL LUNG DISEASE WITHOUT CC/MCC
199	MDC 04	M	PNEUMOTHORAX WITH MCC
200	MDC 04	M	PNEUMOTHORAX WITH CC
201	MDC 04	M	PNEUMOTHORAX WITHOUT CC/MCC
202	MDC 04	M	BRONCHITIS AND ASTHMA WITH CC/MCC
203	MDC 04	M	BRONCHITIS AND ASTHMA WITHOUT CC/MCC
204	MDC 04	M	RESPIRATORY SIGNS AND SYMPTOMS
205	MDC 04	M	OTHER RESPIRATORY SYSTEM DIAGNOSES WITH MCC
206	MDC 04	M	OTHER RESPIRATORY SYSTEM DIAGNOSES WITHOUT MCC
207	MDC 04	M	RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS
208	MDC 04	M	RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS
215	MDC 05	P	OTHER HEART ASSIST SYSTEM IMPLANT
216	MDC 05	P	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC
217	MDC 05	P	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC
218	MDC 05	P	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROEDURESC WITH CARDIAC CATHETERIZATION WITHOUT CC/MCC
219	MDC 05	P	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
220	MDC 05	P	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH CC
221	MDC 05	P	CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC
222	MDC 05	P	CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITH MCC
223	MDC 05	P	CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITHOUT MCC
224	MDC 05	P	CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITH MCC
225	MDC 05	P	CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITHOUT AMI/HF/SHOCK WITHOUT MCC
226	MDC 05	P	CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERATION WITH MCC
227	MDC 05	P	CARDIAC DEFIBRILLATOR IMPLANT WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC
228	MDC 05	P	OTHER CARDIOTHORACIC PROCEDURES WITH MCC
229	MDC 05	P	OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC
231	MDC 05	P	CORONARY BYPASS WITH PTCA WITH MCC
232	MDC 05	P	CORONARY BYPASS WITH PTCA WITHOUT MCC
233	MDC 05	P	CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITH MCC
234	MDC 05	P	CORONARY BYPASS WITH CARDIAC CATHETERIZATION WITHOUT MCC
235	MDC 05	P	CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC
236	MDC 05	P	CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC
239	MDC 05	P	AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC
240	MDC 05	P	AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC
241	MDC 05	P	AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITHOUT CC/MCC
242	MDC 05	P	PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC
243	MDC 05	P	PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC
244	MDC 05	P	PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC
245	MDC 05	P	AICD GENERATOR PROCEDURES
246	MDC 05	P	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ VESSELS OR STENTS
247	MDC 05	P	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC
248	MDC 05	P	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITH MCC OR 4+ VESSELS OR STENTS
249	MDC 05	P	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC
250	MDC 05	P	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC
251	MDC 05	P	PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC
252	MDC 05	P	OTHER VASCULAR PROCEDURES WITH MCC
253	MDC 05	P	OTHER VASCULAR PROCEDURES WITH CC
254	MDC 05	P	OTHER VASCULAR PROCEDURES WITHOUT CC/MCC
255	MDC 05	P	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH MCC
256	MDC 05	P	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC
257	MDC 05	P	UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITHOUT CC/MCC
258	MDC 05	P	CARDIAC PACEMAKER DEVICE REPLACEMENT WITH MCC
259	MDC 05	P	CARDIAC PACEMAKER DEVICE REPLACEMENT WITHOUT MCC
260	MDC 05	P	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH MCC
261	MDC 05	P	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITH CC
262	MDC 05	P	CARDIAC PACEMAKER REVISION EXCEPT DEVICE REPLACEMENT WITHOUT CC/MCC
263	MDC 05	P	VEIN LIGATION AND STRIPPING
264	MDC 05	P	OTHER CIRCULATORY SYSTEM O.R. PROCEDURES
265	MDC 05	P	AICD LEAD PROCEDURES
266	MDC 05	P	ENDOVASCULAR CARDIAC VALVE REPLACEMENT WITH MCC
267	MDC 05	P	ENDOVASCULAR CARDIAC VALVE REPLACEMENT WITHOUT MCC
268	MDC 05	P	AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W MCC
269	MDC 05	P	AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC
270	MDC 05	P	OTHER MAJOR CARDIOVASCULAR PROCEDURES W MCC
271	MDC 05	P	OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC
272	MDC 05	P	OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC
273	MDC 05	P	PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC
274	MDC 05	P	PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC
280	MDC 05	M	ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE WITH MCC
281	MDC 05	M	ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE WITH CC
282	MDC 05	M	ACUTE MYOCARDIAL INFARCTION DISCHARGED ALIVE WITHOUT CC/MCC
283	MDC 05	M	ACUTE MYOCARDIAL INFARCTION EXPIRED WITH MCC
284	MDC 05	M	ACUTE MYOCARDIAL INFARCTION EXPIRED WITH CC
285	MDC 05	M	ACUTE MYOCARDIAL INFARCTION EXPIRED WITHOUT CC/MCC
286	MDC 05	M	CIRCULATORY DISORDERS EXCEPT AMI WITH CARDIAC CATETERIZATION WITH MCC
287	MDC 05	M	CIRCULATORY DISORDERS EXCEPT AMI WITH CARDIAC CATETERIZATION WITHOUT MCC
288	MDC 05	M	ACUTE AND SUBACUTE ENDOCARDITIS WITH MCC
289	MDC 05	M	ACUTE AND SUBACUTE ENDOCARDITIS WITH CC
290	MDC 05	M	ACUTE AND SUBACUTE ENDOCARDITIS WITHOUT CC/MCC
291	MDC 05	M	HEART FAILURE AND SHOCK WITH MCC
292	MDC 05	M	HEART FAILURE AND SHOCK WITH CC
293	MDC 05	M	HEART FAILURE AND SHOCK WITHOUT CC/MCC
294	MDC 05	M	DEEP VEIN THROMBOPHLEBITIS WITH CC/MCC
295	MDC 05	M	DEEP VEIN THROMBOPHLEBITIS WITHOUT CC/MCC
296	MDC 05	M	CARDIAC ARREST UNEXPLAINED WITH MCC
297	MDC 05	M	CARDIAC ARREST UNEXPLAINED WITH CC
298	MDC 05	M	CARDIAC ARREST UNEXPLAINED WITHOUT CC/MCC
299	MDC 05	M	PERIPHERAL VASCULAR DISORDERS WITH MCC
300	MDC 05	M	PERIPHERAL VASCULAR DISORDERS WITH CC
301	MDC 05	M	PERIPHERAL VASCULAR DISORDERS WITHOUT CC/MCC
302	MDC 05	M	ATHEROSCLEROSIS WITH MCC
303	MDC 05	M	ATHEROSCLEROSIS WITHOUT MCC
304	MDC 05	M	HYPERTENSION WITH MCC
305	MDC 05	M	HYPERTENSION WITHOUT MCC
306	MDC 05	M	CARDIAC CONGENITAL AND VALVULAR DISORDERS WITH MCC
307	MDC 05	M	CARDIAC CONGENITAL AND VALVULAR DISORDERS WITHOUT MCC
308	MDC 05	M	CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH MCC
309	MDC 05	M	CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITH CC
310	MDC 05	M	CARDIAC ARRHYTHMIA AND CONDUCTION DISORDERS WITHOUT CC/MCC
311	MDC 05	M	ANGINA PECTORIS
312	MDC 05	M	SYNCOPE AND COLLAPSE
313	MDC 05	M	CHEST PAIN
314	MDC 05	M	OTHER CIRCULATORY SYSTEM DIAGNOSES WITH MCC
315	MDC 05	M	OTHER CIRCULATORY SYSTEM DIAGNOSES WITH CC
316	MDC 05	M	OTHER CIRCULATORY SYSTEM DIAGNOSES WITHOUT CC/MCC
326	MDC 06	P	STOMACH ESOPHAGEAL AND DUODENAL PROCEDURES WITH MCC
327	MDC 06	P	STOMACH ESOPHAGEAL AND DUODENAL PROCEDURES WITH CC
328	MDC 06	P	STOMACH ESOPHAGEAL AND DUODENAL PROCEDURES WITHOUT CC/MCC
329	MDC 06	P	MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC
330	MDC 06	P	MAJOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
331	MDC 06	P	MAJOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC
332	MDC 06	P	RECTAL RESECTION WITH MCC
333	MDC 06	P	RECTAL RESECTION WITH CC
334	MDC 06	P	RECTAL RESECTION WITHOUT CC/MCC
335	MDC 06	P	PERITONEAL ADHESIOLYSIS WITH MCC
336	MDC 06	P	PERITONEAL ADHESIOLYSIS WITH CC
337	MDC 06	P	PERITONEAL ADHESIOLYSIS WITHOUT CC/MCC
338	MDC 06	P	APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC
339	MDC 06	P	APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH CC
340	MDC 06	P	APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
341	MDC 06	P	APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH MCC
342	MDC 06	P	APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITH CC
343	MDC 06	P	APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
344	MDC 06	P	MINOR SMALL AND LARGE BOWEL PROCEDURES WITH MCC
345	MDC 06	P	MINOR SMALL AND LARGE BOWEL PROCEDURES WITH CC
346	MDC 06	P	MINOR SMALL AND LARGE BOWEL PROCEDURES WITHOUT CC/MCC
347	MDC 06	P	ANAL AND STOMAL PROCEDURES WITH MCC
348	MDC 06	P	ANAL AND STOMAL PROCEDURES WITH CC
349	MDC 06	P	ANAL AND STOMAL PROCEDURES WITHOUT CC/MCC
350	MDC 06	P	INGUINAL AND FEMORAL HERNIA PROCEDURES WITH MCC
351	MDC 06	P	INGUINAL AND FEMORAL HERNIA PROCEDURES WITH CC
352	MDC 06	P	INGUINAL AND FEMORAL HERNIA PROCEDURES WITHOUT CC/MCC
353	MDC 06	P	HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH MCC
354	MDC 06	P	HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITH CC
355	MDC 06	P	HERNIA PROCEDURES EXCEPT INGUINAL AND FEMORAL WITHOUT CC/MCC
356	MDC 06	P	OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH MCC
357	MDC 06	P	OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITH CC
358	MDC 06	P	OTHER DIGESTIVE SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
368	MDC 06	M	MAJOR ESOPHAGEAL DISORDERS WITH MCC
369	MDC 06	M	MAJOR ESOPHAGEAL DISORDERS WITH CC
370	MDC 06	M	MAJOR ESOPHAGEAL DISORDERS WITHOUT CC/MCC
371	MDC 06	M	MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH MCC
372	MDC 06	M	MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITH CC
373	MDC 06	M	MAJOR GASTROINTESTINAL DISORDERS AND PERITONEAL INFECTIONS WITHOUT CC/MCC
374	MDC 06	M	DIGESTIVE MALIGNANCY WITH MCC
375	MDC 06	M	DIGESTIVE MALIGNANCY WITH CC
376	MDC 06	M	DIGESTIVE MALIGNANCY WITHOUT CC/MCC
377	MDC 06	M	G.I. HEMORRHAGE WITH MCC
378	MDC 06	M	G.I. HEMORRHAGE WITH CC
379	MDC 06	M	G.I. HEMORRHAGE WITHOUT CC/MCC
380	MDC 06	M	COMPLICATED PEPTIC ULCER WITH MCC
381	MDC 06	M	COMPLICATED PEPTIC ULCER WITH CC
382	MDC 06	M	COMPLICATED PEPTIC ULCER WITHOUT CC/MCC
383	MDC 06	M	UNCOMPLICATED PEPTIC ULCER WITH MCC
384	MDC 06	M	UNCOMPLICATED PEPTIC ULCER WITHOUT MCC
385	MDC 06	M	INFLAMMATORY BOWEL DISEASE WITH MCC
386	MDC 06	M	INFLAMMATORY BOWEL DISEASE WITH CC
387	MDC 06	M	INFLAMMATORY BOWEL DISEASE WITHOUT CC/MCC
388	MDC 06	M	G.I. OBSTRUCTION WITH MCC
