raw_description,DRG_34_description
CARDIAC VALVE AND OTH MAJ CARDIOTHORACIC PROCEDURES WITHOUT CARD CATHETERIZATION WITHOUT CC/MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITHOUT CC/MCC
BACK AND NECK PROCEDURES EXC SPINAL FUSION WITHOUT CC/MCC,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITHOUT CC/MCC
PATHOLOGICAL FRACTURES AND MUSCULOSKELET AND CONN TISS MALIG WITH CC,PATHOLOGICAL FRACTURES AND MUSCULOSKELETAL AND CONNECTIVE TISSUE MALIGNANCY WITH CC
CARDIAC VALVE AND OTH MAJ CARDIOTHORACIC PROCEDURES WITH CARD CATHETERIZATION WITH CC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH CC
ABORTION WITH DANDC ASPIRATION CURETTAGE OR HYSTEROTOMY,ABORTION WITH D&C ASPIRATION CURETTAGE OR HYSTEROTOMY
BILATERAL OR MULTIPLE MAJOR JOINT PROCS OF LOWER EXTREMITY WITHOUT MCC,BILATERAL OR MULTIPLE MAJOR JOINT PROCEDURES OF LOWER EXTREMITY WITHOUT MCC
POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITHOUT CC/MCC,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITHOUT CC/MCC
OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,OTHER MAJOR CARDIOVASCULAR PROCEDURES W CC
INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES WITHOUT MCC,MISCELLANEOUS DISORDERS OF NUTRITION METABOLISM  FLUIDS AND ELECTROLYTES WITHOUT MCC
PERC CARDIOVASC PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC
OTHER CARDIOTHORACIC PROCEDURES WITH CC,NaN
PERC CARDIOVASC PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITH MCC
OTHER ENDOCRINE NUTRIT AND METAB O.R. PROCEDURES WITH CC,OTHER ENDOCRINE NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH CC
AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON W/O MCC
LIMB REATTACHMENT HIP AND FEMUR PROCEDURES FOR MULTIPLE SIGNIFICANT TRAUMA,LIMB REATTACHMENT HIP AND FEMUR PROC FOR MULTIPLE SIGNIFICANT TRAUMA
LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURES WITH CC,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITH CC
PERIPH/CRANIAL NERVE AND OTHER NERV SYST PROCEDURES WITHOUT CC/MCC,PERIPHERAL CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITHOUT CC/MCC
TRAUMATIC STUPOR AND COMA COMA >1 HR WITHOUT CC/MCC,TRAUMATIC STUPOR AND COMA COMA >1 HOUR WITHOUT CC/MCC
POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURES WITH CC,POSTOPERATIVE OR POST-TRAUMATIC INFECTIONS WITH O.R. PROCEDURE WITH CC
WND DEBRID AND SKN GRFT EXC HAND FOR MUSCULO-CONN TISS DIS WITH CC,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC
CHEMO WITH ACUTE LEUKEMIA AS SDX WITHOUT CC/MCC,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SDX WITHOUT CC/MCC
ORGANIC DISTURBANCES AND MENTAL RETARDATION,ORGANIC DISTURBANCES AND INTELLECTUAL DISABILITY
SKIN GRAFT AND/OR DEBRID EXC FOR SKIN ULCER OR CELLULITIS WITH CC,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC
SPINAL FUS EXC CERV WITH SPINAL CURV/MALIG/INFEC OR EXT FUS WITHOUT CC/MCC,SPINAL FUSION EXCEPT CERVICAL WITH SPINAL CURVATURE OR MALIGNANCY OR INFECTION OR EXTENSIVE FUSIONS WITHOUT CC/MCC
PERCUTANEOUS INTRACARDIAC PROCEDURES WITHOUT MCC,PERCUTANEOUS INTRACARDIAC PROCEDURES W/O MCC
DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA WITH MCC,DISORDERS OF LIVER EXCEPT MALIGNANCY CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC
MISC DISORDERS OF NUTRITIONMETABOLISMFLUIDS/ELECTROLYTES WITH MCC,MISCELLANEOUS DISORDERS OF NUTRITION METABOLISM  FLUIDS AND ELECTROLYTES WITH MCC
OTHER RESP SYSTEM O.R. PROCEDURES WITH MCC,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH MCC
ECMO OR TRACH WITH MV >96 HRS OR PDX EXC FACE MOUTH AND NECK WITH MAJ O.R.,ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE MOUTH AND NECK WITH MAJOR O.R. PROCEDURE
OTHER MUSCULOSKELETAL SYS AND CONNECTIVE TISSUE DIAGNOSES WITHOUT CC/MCC,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITHOUT CC/MCC
OTHER CARDIOTHORACIC PROCEDURES WITHOUT CC/MCC,OTHER CARDIOTHORACIC PROCEDURES WITHOUT MCC
CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE CNS PDX WITH MCC OR CHEMOTHERAPY,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITH MCC OR CHEMOTHERAPY IMPLANT
CIRCULATORY DISORDERS EXCEPT AMI WITH CARD CATHETERIZATION WITH MCC,CIRCULATORY DISORDERS EXCEPT AMI WITH CARDIAC CATETERIZATION WITH MCC
SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONN TISSUE WITHOUT MCC,SIGNS AND SYMPTOMS OF MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE WITHOUT MCC
CIRCULATORY DISORDERS EXCEPT AMI WITH CARD CATHETERIZATION WITHOUT MCC,CIRCULATORY DISORDERS EXCEPT AMI WITH CARDIAC CATETERIZATION WITHOUT MCC
MAJOR CARDIOVASC PROCEDURES WITHOUT MCC,NaN
VAGINAL DELIVERY WITH STERILIZATION AND/OR DANDC,VAGINAL DELIVERY WITH STERILIZATION AND/OR D&C
WND DEBRID AND SKN GRFT EXC HAND FOR MUSCULO-CONN TISS DIS WITH MCC,WOUND DEBRIDEMENT AND SKIN GRAFT EXCEPT HAND FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH MCC
BACK AND NECK PROCEDURES EXC SPINAL FUSION WITH CC/MCC OR DISC DEVICE/NEUROSTIM,BACK AND NECK PROCEDURES EXCEPT SPINAL FUSION WITH CC
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG WITH CC,OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH CC
TRAUMATIC STUPOR AND COMA COMA <1 HR WITHOUT CC/MCC,TRAUMATIC STUPOR AND COMA COMA <1 HOUR WITHOUT CC/MCC
OTHER ENDOCRINE NUTRIT AND METAB O.R. PROCEDURES WITH MCC,OTHER ENDOCRINE NUTRITIONAL AND METABOLIC O.R. PROCEDURES WITH MCC
SKIN GRAFT AND/OR DEBRID EXC FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITHOUT CC/MCC
RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <96 HOURS,RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <=96 HOURS
CESAREAN SECTION WITHOUT STERILIZATION WITH CC,CESAREAN SECTION WITH CC/MCC
TRAUMATIC STUPOR AND COMA COMA >1 HR WITH CC,TRAUMATIC STUPOR AND COMA COMA >1 HOUR WITH CC
PERIPH/CRANIAL NERVE AND OTHER NERV SYST PROCEDURES WITH CC OR PERIPH NEUROSTIM,PERIPHERAL CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUROSTIMULATOR
ECMO OR TRACH WITH MV 96+ HRS OR PDX EXC FACE MOUTH AND NECK WITH MAJ O.R.,ECMO OR TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE MOUTH AND NECK WITH MAJOR O.R. PROCEDURE
SEPTICEMIA WITHOUT MV 96+ HOURS WITH MCC,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC
TRAUMATIC STUPOR AND COMA COMA <1 HR WITH CC,TRAUMATIC STUPOR AND COMA COMA <1 HOUR WITH CC
OTHER RESP SYSTEM O.R. PROCEDURES WITH CC,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITH CC
NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC,NON-EXTENSIVE O.R. PROC UNRELATED TO PRINCIPAL DIAGNOSIS WITH CC
DISORDERS OF LIVER EXCEPT MALIGCIRRALC HEPA WITHOUT CC/MCC,DISORDERS OF LIVER EXCEPT MALIGNANCY CIRRHOSIS OR ALCOHOLIC HEPATITIS WITHOUT CC/MCC
TRAUMA TO THE SKIN SUBCUT TISS AND BREAST WITHOUT MCC,TRAUMA TO THE SKIN SUBCUTANEOUS TISSUE AND BREAST WITHOUT MCC
ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,ENDOVASCULAR CARDIAC VALVE REPLACEMENT WITHOUT MCC
PERC CARDIOVASC PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH NON-DRUG-ELUTING STENT WITHOUT MCC
MAJOR JOINT AND LIMB REATTACHMENT PROCEDURES OF UPPER EXTREMITY WITHOUT CC/MCC,NaN
CRANIAL/FACIAL PROCEDURES WITH CC/MCC,CRANIAL AND FACIAL PROCEDURES WITH CC/MCC
CRANIO WITH MAJOR DEV IMPL/ACUTE COMPLEX CNS PDX WITHOUT MCC,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PDX WITHOUT MCC
FEVER AND INFLAMMATORY CONDITIONS,NaN
ALCOHOL/DRUG ABUSE OR DEPENDENCE LEFT AMA,ALCOHOL DRUG ABUSE OR DEPENDENCE LEFT AMA
VAGINAL DELIVERY WITHOUT STERILIZATION/DANDC WITHOUT CC/MCC,VAGINAL DELIVERY WITHOUT COMPLICATING DIAGNOSES
NON-EXTENSIVE O.R. PROCEDURES UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC,NON-EXTENSIVE O.R. PROCEDURE UNRELATED TO PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
AMPUTAT OF LOWER LIMB FOR ENDOCRINENUTRITAND METABOL DIS WITH CC,AMPUTATION OF LOWER LIMB FOR ENDOCRINE NUTRITIONAL AND METABOLIC DISORDERS WITH CC
MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS AND COAGUL WITH MCC,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITH MCC
PERIPH/CRANIAL NERVE AND OTHER NERV SYST PROCEDURES WITH MCC,PERIPHERAL CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC
PERC CARDIOVASC PROCEDURES WITHOUT CORONARY ARTERY STENT OR AMI WITHOUT MCC,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITHOUT CORONARY ARTERY STENT WITHOUT MCC
OTHER ANTEPARTUM DIAGNOSES WITH O.R. PROCEDURE WITHOUT CC/MCC,OTHER ANTEPARTUM DIAGNOSES WITHOUT MEDICAL COMPLICATIONS
CARDIAC DEFIB IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITHOUT MCC,CARDIAC DEFIBRILLATOR IMPLANT WITH CARDIAC CATHETERIZATION WITH AMI/HF/SHOCK WITHOUT MCC
AMPUTATION FOR MUSCULOSKELETAL SYS AND CONN TISSUE DIS WITHOUT CC/MCC,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITHOUT CC/MCC
LOCAL EXCISION AND REMOVAL INT FIX DEVICES EXC HIP AND FEMUR WITH CC,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATION DEVICES EXCEPT HIP AND FEMUR WITH CC
AMPUTATION FOR MUSCULOSKELETAL SYS AND CONN TISSUE DIS WITH CC,AMPUTATION FOR MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DISORDERS WITH CC
LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURES WITH MCC,LYMPHOMA AND NON-ACUTE LEUKEMIA WITH OTHER O.R. PROCEDURE WITH MCC
BONE MARROW TRANSPLANT,NaN
CHEMO WITH ACUTE LEUKEMIA AS SDX WITH CC OR HIGH DOSE CHEMO AGENT,CHEMOTHERPY WITH ACUTE LEUKEMIA AS SDX WITH CC OR HIGH DOSE CHEMOTHERAPY AGENT
CARDIAC VALVE AND OTH MAJ CARDIOTHORACIC PROCEDURES WITHOUT CARD CATHETERIZATION WITH MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION WITH MCC
OTHER RESP SYSTEM O.R. PROCEDURES WITHOUT CC/MCC,OTHER RESPIRATORY SYSTEM O.R. PROCEDURES WITHOUT CC/MCC
CARDIAC VALVE AND OTH MAJ CARDIOTHORACIC PROCEDURES WITH CARD CATHETERIZATION WITH MCC,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WITH MCC
SKIN GRAFT AND/OR DEBRID FOR SKN ULCER OR CELLULITIS WITH CC,SKIN GRAFT FOR SKIN ULCER OR CELLULITIS WITH CC
OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXC MALIGNANCY WITH CC/MCC,OTHER MALE REPRODUCTIVE SYSTEM O.R. PROCEDURES EXCEPT MALIGNANCY WITH CC/MCC
AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB AND TOE WITH CC,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH CC
DISORDERS OF LIVER EXCEPT MALIG CIRR ALC HEPA WITH MCC,DISORDERS OF LIVER EXCEPT MALIGNANCY CIRRHOSIS OR ALCOHOLIC HEPATITIS WITH MCC
APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAG WITHOUT CC/MCC,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,TRANSIENT ISCHEMIA
UPPER LIMB AND TOE AMPUTATION FOR CIRC SYSTEM DISORDERS WITH CC,UPPER LIMB AND TOE AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS WITH CC
VAGINAL DELIVERY WITH O.R. PROCEDURES EXCEPT STERIL AND/OR DANDC,VAGINAL DELIVERY WITH O.R. PROCEDURE EXCEPT STERILIZATION AND/OR D&C
OTHER SKIN SUBCUT TISS AND BREAST PROCEDURES WITH CC,OTHER SKIN SUBCUTANEOUS TISSUE AND BREAST PROCEDURES WITH CC
OTHER ANTEPARTUM DIAGNOSES WITHOUT O.R. PROCEDURE WITH CC,OTHER ANTEPARTUM DIAGNOSES WITH MEDICAL COMPLICATIONS
PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,PULMONARY EMBOLISM WITH MCC
OTHER MUSCULOSKELET SYS AND CONN TISS O.R. PROCEDURES WITH CC,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITH CC
AMPUTATION FOR CIRC SYS DISORDERS EXC UPPER LIMB AND TOE WITH MCC,AMPUTATION FOR CIRCULATORY SYSTEM DISORDERS EXCEPT UPPER LIMB AND TOE WITH MCC
LOWER EXTREM AND HUMER PROCEDURES EXCEPT HIPFOOTFEMUR WITH CC,LOWER EXTREMITY AND HUMERUS PROCEDURES EXCEPT HIP FOOT AND FEMUR WITH CC
NUTRITIONAL AND MISC METABOLIC DISORDERS WITH MCC,NaN
MYELOPROLIF DISORD OR POORLY DIFF NEOPL WITH MAJ O.R. PROCEDURES WITH CC,MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASMS WITH MAJOR O.R. PROCEDURE WITH CC
TRACH WITH MV >96 HRS OR PDX EXC FACE MOUTH AND NECK WITHOUT MAJ O.R.,TRACHEOSTOMY WITH MV >96 HOURS OR PDX EXCEPT FACE MOUTH AND NECK WITHOUT MAJOR O.R. PROCEDURE
FEVER OF UNKNOWN ORIGIN,NaN
PERCUTANEOUS INTRACARDIAC PROCEDURES WITH MCC,PERCUTANEOUS INTRACARDIAC PROCEDURES W MCC
APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAG WITHOUT CC/MCC,APPENDECTOMY WITHOUT COMPLICATED PRINCIPAL DIAGNOSIS WITHOUT CC/MCC
OTHER MUSCULOSKELET SYS AND CONN TISS O.R. PROCEDURES WITHOUT CC/MCC,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE O.R. PROCEDURES WITHOUT CC/MCC
OTHER MAJOR CARDIOVASCULAR PROCEDURES WITHOUT CC/MCC,OTHER MAJOR CARDIOVASCULAR PROCEDURES W/O CC/MCC
BILIARY TRACT PROCEDURES EXCEPT ONLY CHOLECYST WITH OR WITHOUT C.D.E. WITH MCC,BILIARY TRACT PROCEDURE EXCEPT ONLY CHOLECYSTECTOMY WITH OR WITHOUT C.D.E. WITH MCC
MAJOR HEMATOL/IMMUN DIAG EXC SICKLE CELL CRISIS AND COAGUL WITHOUT CC/MCC,MAJOR HEMATOLOGICAL AND IMMUNOLOGICAL DIAGNOSES EXCEPT SICKLE CELL CRISIS AND COAGULATION DISORDERS WITHOUT CC/MCC
LOCAL EXCISION AND REMOVAL INT FIX DEVICES OF HIP AND FEMUR WITH CC/MCC,LOCAL EXCISION AND REMOVAL INTERNAL FIXATION DEVICES OF HIP AND FEMUR WITH CC/MCC
OTHER MUSCULOSKELETAL SYS AND CONNECTIVE TISSUE DIAGNOSES WITH CC,OTHER MUSCULOSKELETAL SYSTEM AND CONNECTIVE TISSUE DIAGNOSES WITH CC
OTHER MYELOPROLIF DIS OR POORLY DIFF NEOPL DIAG WITH MCC,OTHER MYELOPROLIFERATIVE DISORDERS OR POORLY DIFFERENTIATED NEOPLASTIC DIAGNOSES WITH MCC
LOCAL EXCISION AND REMOVAL INT FIX DEVICES EXC HIP AND FEMUR WITH MCC,LOCAL EXCISION AND REMOVAL OF INTERNAL FIXATIOM DEVICES EXCEPT HIP AND FEMUR WITH MCC
FX SPRN STRN AND DISL EXCEPT FEMUR HIP PELVIS AND THIGH WITH MCC,FRACTURE SPRAIN STRAIN AND DISLOCATION EXCEPT FEMUR HIP PELVIS AND THIGH WITH MCC
RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS OR PERIPHERA,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS
CHEMO WITH ACUTE LEUKEMIA AS SDX OR WITH HIGH DOSE CHEMO AGENT WITH MCC,CHEMOTHERAPY WITH ACUTE LEUKEMIA AS SDX OR WITH HIGH DOSE CHEMOTHERAPY AGENT WITH MCC
NON-BACTERIAL INFECT OF NERVOUS SYS EXC VIRAL MENINGITIS WITHOUT CC/MCC,NON-BACTERIAL INFECTION OF NERVOUS SYSTEM EXCEPT VIRAL MENINGITIS WITHOUT CC/MCC
DANDC CONIZATION LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC,D&C CONIZATION LAPAROSCOPY AND TUBAL INTERRUPTION WITH CC/MCC
SEPTICEMIA WITH MV 96+ HOURS,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS
APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAG WITH CC,APPENDECTOMY WITH COMPLICATED PRINCIPAL DIAGNOSIS WITH CC
